date,regime,regime_name,period_name
1997-07-02,0,BULL,Asian Financial Crisis
1997-07-02,0,BULL,Asian Financial Crisis
1997-07-02,0,BULL,Asian Financial Crisis
1997-07-02,0,BULL,Asian Financial Crisis
1997-07-02,0,BULL,Asian Financial Crisis
1997-07-02,0,BULL,Asian Financial Crisis
1997-07-02,0,BULL,Asian Financial Crisis
1997-07-02,0,BULL,Asian Financial Crisis
1997-07-03,0,BULL,Asian Financial Crisis
1997-07-03,0,BULL,Asian Financial Crisis
1997-07-03,0,BULL,Asian Financial Crisis
1997-07-03,0,BULL,Asian Financial Crisis
1997-07-03,0,BULL,Asian Financial Crisis
1997-07-03,0,BULL,Asian Financial Crisis
1997-07-03,0,BULL,Asian Financial Crisis
1997-07-03,0,BULL,Asian Financial Crisis
1997-07-07,0,BULL,Asian Financial Crisis
1997-07-07,0,BULL,Asian Financial Crisis
1997-07-07,0,BULL,Asian Financial Crisis
1997-07-07,0,BULL,Asian Financial Crisis
1997-07-07,0,BULL,Asian Financial Crisis
1997-07-07,0,BULL,Asian Financial Crisis
1997-07-07,0,BULL,Asian Financial Crisis
1997-07-07,0,BULL,Asian Financial Crisis
1997-07-08,0,BULL,Asian Financial Crisis
1997-07-09,0,BULL,Asian Financial Crisis
1997-07-09,0,BULL,Asian Financial Crisis
1997-07-09,0,BULL,Asian Financial Crisis
1997-07-09,0,BULL,Asian Financial Crisis
1997-07-09,0,BULL,Asian Financial Crisis
1997-07-09,0,BULL,Asian Financial Crisis
1997-07-09,0,BULL,Asian Financial Crisis
1997-07-09,0,BULL,Asian Financial Crisis
1997-07-10,0,BULL,Asian Financial Crisis
1997-07-10,0,BULL,Asian Financial Crisis
1997-07-10,0,BULL,Asian Financial Crisis
1997-07-10,0,BULL,Asian Financial Crisis
1997-07-10,0,BULL,Asian Financial Crisis
1997-07-10,0,BULL,Asian Financial Crisis
1997-07-10,0,BULL,Asian Financial Crisis
1997-07-10,0,BULL,Asian Financial Crisis
1997-07-11,0,BULL,Asian Financial Crisis
1997-07-11,0,BULL,Asian Financial Crisis
1997-07-11,0,BULL,Asian Financial Crisis
1997-07-11,0,BULL,Asian Financial Crisis
1997-07-11,0,BULL,Asian Financial Crisis
1997-07-11,0,BULL,Asian Financial Crisis
1997-07-11,0,BULL,Asian Financial Crisis
1997-07-11,0,BULL,Asian Financial Crisis
1997-07-14,0,BULL,Asian Financial Crisis
1997-07-15,0,BULL,Asian Financial Crisis
1997-07-16,0,BULL,Asian Financial Crisis
1997-07-17,0,BULL,Asian Financial Crisis
1997-07-17,0,BULL,Asian Financial Crisis
1997-07-17,0,BULL,Asian Financial Crisis
1997-07-17,0,BULL,Asian Financial Crisis
1997-07-17,0,BULL,Asian Financial Crisis
1997-07-17,0,BULL,Asian Financial Crisis
1997-07-17,0,BULL,Asian Financial Crisis
1997-07-17,0,BULL,Asian Financial Crisis
1997-07-18,1,SIDEWAYS,Asian Financial Crisis
1997-07-18,1,SIDEWAYS,Asian Financial Crisis
1997-07-18,1,SIDEWAYS,Asian Financial Crisis
1997-07-18,1,SIDEWAYS,Asian Financial Crisis
1997-07-18,1,SIDEWAYS,Asian Financial Crisis
1997-07-18,1,SIDEWAYS,Asian Financial Crisis
1997-07-18,1,SIDEWAYS,Asian Financial Crisis
1997-07-18,1,SIDEWAYS,Asian Financial Crisis
1997-07-21,1,SIDEWAYS,Asian Financial Crisis
1997-07-21,1,SIDEWAYS,Asian Financial Crisis
1997-07-21,1,SIDEWAYS,Asian Financial Crisis
1997-07-21,1,SIDEWAYS,Asian Financial Crisis
1997-07-21,1,SIDEWAYS,Asian Financial Crisis
1997-07-21,1,SIDEWAYS,Asian Financial Crisis
1997-07-21,1,SIDEWAYS,Asian Financial Crisis
1997-07-21,1,SIDEWAYS,Asian Financial Crisis
1997-07-22,0,BULL,Asian Financial Crisis
1997-07-22,0,BULL,Asian Financial Crisis
1997-07-22,0,BULL,Asian Financial Crisis
1997-07-22,0,BULL,Asian Financial Crisis
1997-07-22,0,BULL,Asian Financial Crisis
1997-07-22,0,BULL,Asian Financial Crisis
1997-07-22,0,BULL,Asian Financial Crisis
1997-07-22,0,BULL,Asian Financial Crisis
1997-07-23,0,BULL,Asian Financial Crisis
1997-07-23,0,BULL,Asian Financial Crisis
1997-07-23,0,BULL,Asian Financial Crisis
1997-07-23,0,BULL,Asian Financial Crisis
1997-07-23,0,BULL,Asian Financial Crisis
1997-07-23,0,BULL,Asian Financial Crisis
1997-07-23,0,BULL,Asian Financial Crisis
1997-07-23,0,BULL,Asian Financial Crisis
1997-07-24,0,BULL,Asian Financial Crisis
1997-07-24,0,BULL,Asian Financial Crisis
1997-07-24,0,BULL,Asian Financial Crisis
1997-07-24,0,BULL,Asian Financial Crisis
1997-07-24,0,BULL,Asian Financial Crisis
1997-07-24,0,BULL,Asian Financial Crisis
1997-07-24,0,BULL,Asian Financial Crisis
1997-07-24,0,BULL,Asian Financial Crisis
1997-07-25,0,BULL,Asian Financial Crisis
1997-07-25,0,BULL,Asian Financial Crisis
1997-07-25,0,BULL,Asian Financial Crisis
1997-07-25,0,BULL,Asian Financial Crisis
1997-07-25,0,BULL,Asian Financial Crisis
1997-07-25,0,BULL,Asian Financial Crisis
1997-07-25,0,BULL,Asian Financial Crisis
1997-07-25,0,BULL,Asian Financial Crisis
1997-07-28,0,BULL,Asian Financial Crisis
1997-07-28,0,BULL,Asian Financial Crisis
1997-07-28,0,BULL,Asian Financial Crisis
1997-07-28,0,BULL,Asian Financial Crisis
1997-07-28,0,BULL,Asian Financial Crisis
1997-07-28,0,BULL,Asian Financial Crisis
1997-07-28,0,BULL,Asian Financial Crisis
1997-07-28,0,BULL,Asian Financial Crisis
1997-07-29,1,SIDEWAYS,Asian Financial Crisis
1997-07-29,1,SIDEWAYS,Asian Financial Crisis
1997-07-29,1,SIDEWAYS,Asian Financial Crisis
1997-07-29,1,SIDEWAYS,Asian Financial Crisis
1997-07-29,1,SIDEWAYS,Asian Financial Crisis
1997-07-29,1,SIDEWAYS,Asian Financial Crisis
1997-07-29,1,SIDEWAYS,Asian Financial Crisis
1997-07-29,1,SIDEWAYS,Asian Financial Crisis
1997-07-30,0,BULL,Asian Financial Crisis
1997-07-31,0,BULL,Asian Financial Crisis
1997-08-01,1,SIDEWAYS,Asian Financial Crisis
1997-08-01,1,SIDEWAYS,Asian Financial Crisis
1997-08-01,1,SIDEWAYS,Asian Financial Crisis
1997-08-01,1,SIDEWAYS,Asian Financial Crisis
1997-08-01,1,SIDEWAYS,Asian Financial Crisis
1997-08-01,1,SIDEWAYS,Asian Financial Crisis
1997-08-01,1,SIDEWAYS,Asian Financial Crisis
1997-08-01,1,SIDEWAYS,Asian Financial Crisis
1997-08-04,0,BULL,Asian Financial Crisis
1997-08-05,0,BULL,Asian Financial Crisis
1997-08-06,0,BULL,Asian Financial Crisis
1997-08-07,0,BULL,Asian Financial Crisis
1997-08-08,1,SIDEWAYS,Asian Financial Crisis
1997-08-11,1,SIDEWAYS,Asian Financial Crisis
1997-08-12,1,SIDEWAYS,Asian Financial Crisis
1997-08-13,1,SIDEWAYS,Asian Financial Crisis
1997-08-14,1,SIDEWAYS,Asian Financial Crisis
1997-08-14,1,SIDEWAYS,Asian Financial Crisis
1997-08-14,1,SIDEWAYS,Asian Financial Crisis
1997-08-14,1,SIDEWAYS,Asian Financial Crisis
1997-08-14,1,SIDEWAYS,Asian Financial Crisis
1997-08-14,1,SIDEWAYS,Asian Financial Crisis
1997-08-14,1,SIDEWAYS,Asian Financial Crisis
1997-08-14,1,SIDEWAYS,Asian Financial Crisis
1997-08-15,1,SIDEWAYS,Asian Financial Crisis
1997-08-15,1,SIDEWAYS,Asian Financial Crisis
1997-08-15,1,SIDEWAYS,Asian Financial Crisis
1997-08-15,1,SIDEWAYS,Asian Financial Crisis
1997-08-15,1,SIDEWAYS,Asian Financial Crisis
1997-08-15,1,SIDEWAYS,Asian Financial Crisis
1997-08-15,1,SIDEWAYS,Asian Financial Crisis
1997-08-15,1,SIDEWAYS,Asian Financial Crisis
1997-08-18,1,SIDEWAYS,Asian Financial Crisis
1997-08-18,1,SIDEWAYS,Asian Financial Crisis
1997-08-18,1,SIDEWAYS,Asian Financial Crisis
1997-08-18,1,SIDEWAYS,Asian Financial Crisis
1997-08-18,1,SIDEWAYS,Asian Financial Crisis
1997-08-18,1,SIDEWAYS,Asian Financial Crisis
1997-08-18,1,SIDEWAYS,Asian Financial Crisis
1997-08-18,1,SIDEWAYS,Asian Financial Crisis
1997-08-19,1,SIDEWAYS,Asian Financial Crisis
1997-08-20,1,SIDEWAYS,Asian Financial Crisis
1997-08-21,1,SIDEWAYS,Asian Financial Crisis
1997-08-22,1,SIDEWAYS,Asian Financial Crisis
1997-08-25,1,SIDEWAYS,Asian Financial Crisis
1997-08-26,2,BEAR,Asian Financial Crisis
1997-08-27,2,BEAR,Asian Financial Crisis
